City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
Grindavik,63.84,-22.43,48.2,93,90,10.29,IS,1594422979
Seabra,-12.42,-41.77,62.74,89,68,2.75,BR,1594422788
kimparana,12.83,-4.92,85.33,57,96,10.87,ML,1594422979
Bredasdorp,-34.53,20.04,50.0,76,34,10.29,ZA,1594422979
Punta Arenas,-53.15,-70.92,32.85,80,75,10.29,CL,1594422821
Sitka,57.05,-135.33,55.4,87,90,9.17,US,1594422980
Yangi Marg`ilon,40.43,71.72,69.8,56,90,11.41,UZ,1594422980
Hermanus,-34.42,19.23,52.0,71,89,7.0,ZA,1594422980
Tasiilaq,65.61,-37.64,42.8,75,25,6.93,GL,1594422919
Marsh Harbour,26.54,-77.06,86.43,69,88,9.6,BS,1594422981
Aksu,41.12,80.26,69.73,49,62,3.87,CN,1594422981
Albany,42.6,-73.97,78.69,79,100,5.73,US,1594422911
Clyde River,70.47,-68.59,62.6,42,75,11.41,CA,1594422883
Rikitea,-23.12,-134.97,67.51,67,71,18.84,PF,1594422981
Vaini,-21.2,-175.2,75.2,73,40,9.17,TO,1594422982
Saint George,37.1,-113.58,102.94,9,1,13.87,US,1594422899
Ancud,-41.87,-73.82,42.39,86,90,19.46,CL,1594422982
Ulaanbaatar,47.91,106.88,55.4,87,75,2.24,MN,1594422983
Borovoy,55.43,86.08,53.6,100,90,6.71,RU,1594422983
Iqaluit,63.75,-68.51,45.34,81,75,9.17,CA,1594422891
Mataura,-46.19,168.86,45.54,86,74,6.49,NZ,1594422899
Butaritari,3.07,172.79,82.18,81,100,16.8,KI,1594422983
Goderich,43.75,-81.72,76.05,83,100,10.45,CA,1594422984
Marabba,12.35,32.18,80.8,60,100,4.92,SD,1594422984
Provideniya,64.38,-173.3,58.69,59,96,5.82,RU,1594422984
Ushuaia,-54.8,-68.3,35.6,69,40,4.7,AR,1594422829
Ishigaki,24.34,124.16,87.8,84,20,13.87,JP,1594422985
Los Llanos de Aridane,28.66,-17.92,73.4,69,75,19.46,ES,1594422710
Bluff,-46.6,168.33,49.71,74,84,19.84,NZ,1594422985
Hobart,-42.88,147.33,40.03,86,75,5.82,AU,1594422885
Laas,46.62,10.7,57.2,93,75,9.17,IT,1594422950
Bengkulu,-3.8,102.27,75.72,84,100,3.85,ID,1594422986
Broken Hill,-31.95,141.43,42.8,87,75,1.12,AU,1594422986
Albanel,48.88,-72.45,91.4,43,40,11.41,CA,1594422986
Kutum,14.2,24.67,74.82,53,81,3.87,SD,1594422986
Cayenne,4.93,-52.33,80.6,83,100,10.07,GF,1594422987
Avarua,-21.21,-159.78,77.0,78,66,3.36,CK,1594422921
Port Alfred,-33.59,26.89,62.01,57,53,5.99,ZA,1594422896
San Angelo,31.46,-100.44,101.64,29,1,3.36,US,1594422917
Nelson,-41.28,173.28,51.46,90,0,1.99,NZ,1594422925
Port Blair,11.67,92.75,81.68,81,100,9.62,IN,1594422988
Fukuechō,32.69,128.84,75.2,94,75,3.36,JP,1594422988
Ribeira Grande,38.52,-28.7,69.03,75,27,7.9,PT,1594422988
Cidreira,-30.18,-50.21,57.27,84,0,11.77,BR,1594422921
Luganville,-15.53,167.17,80.6,78,40,10.29,VU,1594422989
Jamestown,42.1,-79.24,81.55,51,75,1.3,US,1594422802
Torbay,47.67,-52.73,52.66,87,90,3.36,CA,1594422990
Awjilah,29.11,21.29,78.42,36,0,11.7,LY,1594422990
Busselton,-33.65,115.33,37.35,85,0,11.43,AU,1594422729
Fortuna,40.6,-124.16,65.77,68,20,14.99,US,1594422890
Tiksi,71.69,128.87,41.95,87,99,7.67,RU,1594422991
Barrow,71.29,-156.79,37.4,72,90,8.05,US,1594422896
Cherskiy,68.75,161.3,58.23,70,89,8.7,RU,1594422991
Anadyr,64.75,177.48,59.0,82,96,4.47,RU,1594422992
Kloulklubed,7.04,134.26,80.6,83,75,5.82,PW,1594422992
